time,dfof,speed,exp_upperObj,exp_lowerObj,Walking,rearing,Grooming
424.6333333,-0.025459496,2.485576745,0,0,1,0,0
424.6666667,-0.008517466,2.220581216,0,0,1,0,0
424.7,-0.006629697,1.592162211,0,0,1,0,0
424.7333333,-0.017266974,1.084321394,0,0,1,0,0
424.7666667,-0.018332113,0.974355593,0,0,1,0,0
424.8,-0.006099289,1.154567202,0,0,1,0,0
424.8333333,0.001142023,1.304942734,0,0,1,0,0
424.8666667,-0.00829771,1.23074046,0,0,1,0,0
424.9,-0.022188464,1.039462024,0,0,1,0,0
424.9333333,-0.022754195,1.000935959,0,0,1,0,0
424.9666667,-0.020126017,1.248509091,0,0,1,0,0
425,-0.030828928,1.634927364,0,0,1,0,0
425.0333333,-0.04626651,1.898363991,0,0,1,0,0
425.0666667,-0.048321002,1.971162227,0,0,1,0,0
425.1,-0.038589379,2.095885578,0,0,1,0,0
425.1333333,-0.024373628,2.583971261,0,0,1,0,0
425.1666667,-0.00811021,3.41793725,0,0,1,0,0
425.2,0.001507553,4.104750491,0,0,1,0,0
425.2333333,-0.00312622,4.00430829,0,0,1,0,0
425.2666667,-0.017789365,2.914719399,0,0,1,0,0
425.3,-0.027190018,1.397475422,0,0,1,0,0
425.3333333,-0.024736572,0.480770462,0,0,1,0,0
425.3666667,-0.021053431,0.899019893,0,0,1,0,0
425.4,-0.028841873,2.468211226,0,0,1,0,0
425.4333333,-0.038747823,4.146048751,0,0,1,0,0
425.4666667,-0.03680413,4.783501475,0,0,1,0,0
425.5,-0.026242254,3.986109905,0,0,1,0,0
425.5333333,-0.017957977,2.38499245,0,0,1,0,0
425.5666667,-0.015705295,1.094560324,0,0,1,0,0
425.6,-0.018132159,0.812043459,0,0,1,0,0
425.6333333,-0.020734789,1.310385417,0,0,0,0,0
425.6666667,-0.021135912,1.730813421,0,0,0,0,0
425.7,-0.024882731,1.392565624,0,0,0,0,0
425.7333333,-0.03187147,0.404172533,0,0,0,0,0
425.7666667,-0.029163949,-0.443724585,0,0,0,0,0
425.8,-0.015306561,-0.382186835,0,0,0,0,0
425.8333333,-0.004871987,0.672934118,0,0,0,0,0
425.8666667,-0.005240967,2.074629319,0,0,0,0,0
425.9,-0.006991432,3.023588164,0,0,0,0,0
425.9333333,-0.003567717,3.227468326,0,0,0,0,0
425.9666667,0.011853606,3.051794104,0,0,0,0,0
426,0.041279463,3.063329689,0,0,0,0,0
426.0333333,0.058054924,3.42985805,0,0,0,0,0
426.0666667,0.035351733,3.758679349,0,0,0,0,0
426.1,-0.008210235,3.527759206,0,0,0,0,0
426.1333333,-0.027574631,2.691328596,0,0,0,0,0
426.1666667,-0.010463777,1.859876037,0,0,0,0,0
426.2,0.012917621,1.836215255,0,0,0,0,0
426.2333333,0.012071205,2.888515145,0,0,0,0,0
426.2666667,-0.008504105,4.409298644,0,0,0,0,0
426.3,-0.019473519,5.295976927,0,0,0,0,0
426.3333333,-0.008438408,4.767890696,0,0,0,0,0
426.3666667,0.004566985,2.956296801,0,0,0,0,0
426.4,-0.000574952,0.796709981,0,0,0,0,0
426.4333333,-0.019719025,-0.661759763,0,0,0,0,0
426.4666667,-0.032345187,-0.953729223,0,0,0,0,0
426.5,-0.027362515,-0.372915396,0,0,0,0,0
426.5333333,-0.016253556,0.423028522,0,0,0,0,0
426.5666667,-0.009364671,0.961256709,0,0,0,0,0
426.6,-0.007801446,1.186546627,0,0,0,0,0
426.6333333,-0.010334587,1.268734497,0,0,0,0,0
426.6666667,-0.012761805,1.27871425,0,0,0,0,0
426.7,-0.017947376,1.098832449,0,0,0,0,0
426.7333333,-0.022750814,0.639431482,0,0,0,0,0
426.7666667,-0.019637952,0.089171147,0,0,0,0,0
426.8,-0.012013108,-0.120402662,0,0,0,0,0
426.8333333,-0.013256659,0.337295093,0,0,0,0,0
426.8666667,-0.021276497,1.335387536,0,0,0,0,0
426.9,-0.023344901,2.299172512,0,0,0,0,0
426.9333333,-0.019988641,2.612435091,0,0,0,0,0
426.9666667,-0.016998846,2.096153736,0,0,0,0,0
427,-0.014447105,1.145154119,0,0,0,0,0
427.0333333,-0.005380006,0.399678824,0,0,0,0,0
427.0666667,0.007412027,0.235395576,0,0,0,0,0
427.1,0.010151102,0.507690465,0,0,0,0,0
427.1333333,-0.000818043,0.749858581,0,0,0,0,0
427.1666667,-0.015497818,0.620852509,0,0,0,0,0
427.2,-0.018014538,0.193486605,0,0,0,0,0
427.2333333,-0.005424877,-0.156816091,0,0,0,0,0
427.2666667,0.003633761,-0.129499636,0,0,0,0,0
427.3,-0.000654981,0.220807403,0,0,0,0,0
427.3333333,-0.008343884,0.551191578,0,0,0,0,0
427.3666667,-0.016880953,0.560298091,0,0,0,0,0
427.4,-0.026769052,0.259847864,0,0,0,0,0
427.4333333,-0.033626456,-0.060265294,0,0,0,0,0
427.4666667,-0.034023414,-0.121660233,0,0,0,0,0
427.5,-0.024959063,0.086681997,0,0,0,0,0
427.5333333,-0.00828028,0.330895826,0,0,0,0,0
427.5666667,0.001570102,0.403989302,0,0,0,0,0
427.6,0.0010504,0.377878271,0,0,0,0,0
427.6333333,-0.011749741,0.583437154,0,0,0,0,0
427.6666667,-0.032073445,1.319135704,0,0,0,0,0
427.7,-0.04630788,2.541619936,0,0,0,0,0
427.7333333,-0.044965921,3.815910949,0,0,0,0,0
427.7666667,-0.03377427,4.583003831,0,0,0,0,0
427.8,-0.027275852,4.538210805,0,0,0,0,0
427.8333333,-0.030585084,3.83087822,0,0,0,0,0
427.8666667,-0.033524312,2.950192873,0,0,0,0,0
427.9,-0.024581762,2.405508871,0,0,0,0,0
427.9333333,-0.012780898,2.440168997,0,0,0,0,0
